name,training_dataset,dataset,size,recall
UNet,WHU,tyrol-w,small,"0.3882 ± 0.0302 → 0.3711 ± 0.0270 (Δ=-0.0171, t=-0.65, p=0.580)"
UNet,WHU,tyrol-w,very_large,"0.4965 ± 0.0268 → 0.5248 ± 0.0163 (Δ=+0.0284, t=1.14, p=0.371)"
UNet,WHU,vienna,large,"0.8223 ± 0.0024 → 0.8067 ± 0.0035 (Δ=-0.0156, t=-4.86, p=0.040)"
UNet,WHU,vienna,medium,"0.8487 ± 0.0081 → 0.8460 ± 0.0026 (Δ=-0.0026, t=-0.42, p=0.713)"
UNet,WHU,vienna,outlier,"0.6237 ± 0.0358 → 0.5985 ± 0.0273 (Δ=-0.0253, t=-0.72, p=0.546)"
UNet,WHU,vienna,small,"0.3498 ± 0.0083 → 0.3438 ± 0.0024 (Δ=-0.0060, t=-1.11, p=0.383)"
UNet,WHU,vienna,very_large,"0.7366 ± 0.0310 → 0.6897 ± 0.0213 (Δ=-0.0469, t=-3.27, p=0.082)"
UPerNet,Massachusetts,Massachusetts,large,"0.7438 ± 0.0198 → 0.7570 ± 0.0213 (Δ=+0.0132, t=2.18, p=0.161)"
UPerNet,Massachusetts,Massachusetts,medium,"0.8961 ± 0.0093 → 0.9055 ± 0.0135 (Δ=+0.0094, t=1.56, p=0.259)"
UPerNet,Massachusetts,Massachusetts,outlier,"0.8037 ± 0.0339 → 0.8074 ± 0.0390 (Δ=+0.0037, t=1.00, p=0.423)"
UPerNet,Massachusetts,Massachusetts,small,"0.4690 ± 0.0186 → 0.4773 ± 0.0245 (Δ=+0.0083, t=2.40, p=0.139)"
UPerNet,Massachusetts,Massachusetts,very_large,"0.7750 ± 0.0173 → 0.7992 ± 0.0253 (Δ=+0.0242, t=1.84, p=0.207)"
UPerNet,Massachusetts,WHU Test,large,"0.7997 ± 0.0074 → 0.8460 ± 0.0026 (Δ=+0.0463, t=9.39, p=0.011)"
UPerNet,Massachusetts,WHU Test,medium,"0.7373 ± 0.0074 → 0.7991 ± 0.0163 (Δ=+0.0618, t=9.36, p=0.011)"
UPerNet,Massachusetts,WHU Test,outlier,"0.8947 ± 0.0526 → 0.8070 ± 0.0304 (Δ=-0.0877, t=-1.89, p=0.199)"
UPerNet,Massachusetts,WHU Test,small,"0.4678 ± 0.0026 → 0.5089 ± 0.0284 (Δ=+0.0411, t=2.74, p=0.112)"
UPerNet,Massachusetts,WHU Test,very_large,"0.8526 ± 0.0062 → 0.8309 ± 0.0431 (Δ=-0.0218, t=-0.79, p=0.514)"
UPerNet,Massachusetts,austin,large,"0.5981 ± 0.0451 → 0.5766 ± 0.0569 (Δ=-0.0215, t=-0.54, p=0.645)"
UPerNet,Massachusetts,austin,medium,"0.4855 ± 0.0447 → 0.5025 ± 0.0612 (Δ=+0.0169, t=0.40, p=0.726)"
